ID_Node,Origen,ID,Anho,Mes,Total,Total_Origen_Incoming,Total_Origin_Cumulative
18,Corrubedo,200402,2004,2,0.0,0.0,0.0
19,Ponferrada,200402,2004,2,50.0,215.0,265.0
20,Le Puy,200402,2004,2,0.0,0.0,0.0
21,Lugo - C.P.,200402,2004,2,0.0,0.0,0.0
22,Baiona,200402,2004,2,0.0,0.0,0.0
23,Vilalba,200402,2004,2,0.0,0.0,0.0
24,Irún,200402,2004,2,0.0,0.0,0.0
25,Astorga,200402,2004,2,34.0,181.0,215.0
26,Porriño,200402,2004,2,0.0,117.0,117.0
27,Triacastela,200402,2004,2,0.0,461.0,461.0
28,Sevilla,200402,2004,2,0.0,0.0,0.0
29,Pamplona,200402,2004,2,0.0,123.0,123.0
30,Burgos,200402,2004,2,0.0,123.0,123.0
31,A Coruña,200402,2004,2,0.0,0.0,0.0
32,Alemania,200402,2004,2,0.0,0.0,0.0
33,Barcelona,200402,2004,2,0.0,0.0,0.0
34,Bélgica,200402,2004,2,0.0,0.0,0.0
35,Braga,200402,2004,2,0.0,0.0,0.0
36,Com. Valenciana - C.F.,200402,2004,2,0.0,0.0,0.0
37,Com. Valenciana - O.C.,200402,2004,2,0.0,0.0,0.0
38,Estella,200402,2004,2,0.0,123.0,123.0
39,Finisterra,200402,2004,2,0.0,0.0,0.0
40,Fonsagrada - C.P.,200402,2004,2,0.0,0.0,0.0
41,Francia - C.F.,200402,2004,2,0.0,0.0,0.0
42,Gijón,200402,2004,2,0.0,0.0,0.0
43,Gudiña,200402,2004,2,0.0,0.0,0.0
44,Laza,200402,2004,2,0.0,0.0,0.0
45,Logroño,200402,2004,2,0.0,123.0,123.0
46,Lourdes,200402,2004,2,0.0,0.0,0.0
47,Madrid - C.F.,200402,2004,2,0.0,0.0,0.0
48,Madrid - V.P.,200402,2004,2,0.0,0.0,0.0
49,Mérida,200402,2004,2,0.0,0.0,0.0
50,Mondoñedo,200402,2004,2,0.0,0.0,0.0
51,Monforte de Lemos,200402,2004,2,0.0,0.0,0.0
52,Montserrat,200402,2004,2,0.0,0.0,0.0
53,Muxia,200402,2004,2,0.0,0.0,0.0
54,Nájera,200402,2004,2,0.0,123.0,123.0
55,O Barco de Valdeorras,200402,2004,2,0.0,0.0,0.0
56,Ponferrada. C.Inv.,200402,2004,2,0.0,0.0,0.0
57,Ponte de Lima,200402,2004,2,0.0,0.0,0.0
58,Republica Checa,200402,2004,2,0.0,0.0,0.0
59,Resto,200402,2004,2,276.0,0.0,276.0
60,Resto Asturias - C.N,200402,2004,2,0.0,0.0,0.0
61,Resto C. León C.F.,200402,2004,2,0.0,0.0,0.0
62,Resto de Galicia,200402,2004,2,0.0,0.0,0.0
63,Resto de Portugal,200402,2004,2,0.0,0.0,0.0
64,Resto Galicia,200402,2004,2,0.0,0.0,0.0
65,Resto Portugal,200402,2004,2,0.0,0.0,0.0
66,Sahagún,200402,2004,2,0.0,123.0,123.0
67,Samos,200402,2004,2,0.0,0.0,0.0
68,San Sebastián,200402,2004,2,0.0,0.0,0.0
69,Santander,200402,2004,2,0.0,0.0,0.0
70,Somport,200402,2004,2,0.0,0.0,0.0
71,Vega de Valcarce,200402,2004,2,0.0,294.0,294.0
72,Verín,200402,2004,2,0.0,0.0,0.0
73,Vezelay,200402,2004,2,0.0,0.0,0.0
74,Viana do Castelo,200402,2004,2,0.0,0.0,0.0
75,Villafranca del Bierzo,200402,2004,2,29.0,265.0,294.0
0,Catedral Santiago de Compostela,200403,2004,3,0.0,3105.0,3105.0
1,Sarria,200403,2004,3,742.0,1344.0,2086.0
2,Tui,200403,2004,3,325.0,0.0,325.0
3,S. Jean P. Port,200403,2004,3,60.0,0.0,60.0
4,Ferrol,200403,2004,3,92.0,0.0,92.0
5,Oporto,200403,2004,3,0.0,0.0,0.0
6,Cebreiro,200403,2004,3,576.0,768.0,1344.0
7,Ribadeo,200403,2004,3,0.0,0.0,0.0
8,Valença do Minho,200403,2004,3,0.0,0.0,0.0
9,Roncesvalles,200403,2004,3,218.0,60.0,278.0
10,Oviedo - C.P.,200403,2004,3,0.0,0.0,0.0
11,Vigo,200403,2004,3,0.0,0.0,0.0
12,Ponte de sa,200403,2004,3,0.0,0.0,0.0
13,Oporto Costa,200403,2004,3,0.0,0.0,0.0
14,Ourense,200403,2004,3,0.0,0.0,0.0
15,Lisboa,200403,2004,3,0.0,0.0,0.0
16,León,200403,2004,3,154.0,278.0,432.0
17,A Guarda,200403,2004,3,0.0,0.0,0.0
18,Corrubedo,200403,2004,3,0.0,0.0,0.0
19,Ponferrada,200403,2004,3,145.0,559.0,704.0
20,Le Puy,200403,2004,3,0.0,0.0,0.0
21,Lugo - C.P.,200403,2004,3,0.0,0.0,0.0
22,Baiona,200403,2004,3,0.0,0.0,0.0
23,Vilalba,200403,2004,3,0.0,0.0,0.0
24,Irún,200403,2004,3,0.0,0.0,0.0
25,Astorga,200403,2004,3,127.0,432.0,559.0
26,Porriño,200403,2004,3,0.0,325.0,325.0
27,Triacastela,200403,2004,3,0.0,1344.0,1344.0
28,Sevilla,200403,2004,3,0.0,0.0,0.0
29,Pamplona,200403,2004,3,0.0,278.0,278.0
30,Burgos,200403,2004,3,0.0,278.0,278.0
31,A Coruña,200403,2004,3,0.0,0.0,0.0
32,Alemania,200403,2004,3,0.0,0.0,0.0
33,Barcelona,200403,2004,3,0.0,0.0,0.0
34,Bélgica,200403,2004,3,0.0,0.0,0.0
35,Braga,200403,2004,3,0.0,0.0,0.0
36,Com. Valenciana - C.F.,200403,2004,3,0.0,0.0,0.0
37,Com. Valenciana - O.C.,200403,2004,3,0.0,0.0,0.0
38,Estella,200403,2004,3,0.0,278.0,278.0
39,Finisterra,200403,2004,3,0.0,0.0,0.0
40,Fonsagrada - C.P.,200403,2004,3,0.0,0.0,0.0
41,Francia - C.F.,200403,2004,3,0.0,0.0,0.0
42,Gijón,200403,2004,3,0.0,0.0,0.0
43,Gudiña,200403,2004,3,0.0,0.0,0.0
44,Laza,200403,2004,3,0.0,0.0,0.0
45,Logroño,200403,2004,3,0.0,278.0,278.0
46,Lourdes,200403,2004,3,0.0,0.0,0.0
47,Madrid - C.F.,200403,2004,3,0.0,0.0,0.0
48,Madrid - V.P.,200403,2004,3,0.0,0.0,0.0
49,Mérida,200403,2004,3,0.0,0.0,0.0
50,Mondoñedo,200403,2004,3,0.0,0.0,0.0
51,Monforte de Lemos,200403,2004,3,0.0,0.0,0.0
52,Montserrat,200403,2004,3,0.0,0.0,0.0
53,Muxia,200403,2004,3,0.0,0.0,0.0
54,Nájera,200403,2004,3,0.0,278.0,278.0
